,created_at,likes,retweets,source,text
25,2020-02-01 11:30:53,20528.0,4962.0,Periscope,Sharing my views on the #JanJanKaBudget https://t.co/ipsAaMO0lJ
26,2020-02-01 02:38:53,35499.0,5089.0,Twitter for iPhone,Greetings to the Indian Coast Guard on their Foundation Day. Our Coast Guard has made a mark due to their remarkabl… https://t.co/tRPCs9JDRv
27,2020-01-31 14:11:57,21097.0,3572.0,Twitter for iPhone,"Had an excellent meeting with the NDA family. 

Our alliance represents India’s diversity and dynamism. NDA has mad… https://t.co/XMkawno1WC"
28,2020-01-31 14:05:22,30159.0,3940.0,Twitter for iPhone,Met senior BJP leaders at the start of the Budget Session. https://t.co/Sz9CV2FAUg
29,2020-01-31 10:54:17,7623.0,1719.0,Twitter for iPhone,"Rashtrapati Ji also highlighted India’s rising stature at the world stage, how our nation has overcome challenges p… https://t.co/1GeIfXsWPJ"
30,2020-01-31 10:53:01,17194.0,3338.0,Twitter for iPhone,"In his speech to both Houses of Parliament, Rashtrapati Ji lucidly highlighted India’s successes in a wide range of… https://t.co/epBgDzZlDq"
31,2020-01-31 10:50:48,17469.0,3765.0,Twitter for iPhone,The #EconomicSurvey 2019-20 focuses on wealth-creation for 130 crore Indians. It outlines a multi-faceted strategy… https://t.co/vizqdJl7Wt
32,2020-01-31 05:02:12,24070.0,4980.0,Periscope,Speaking at the start of the Budget Session of Parliament. https://t.co/CIMbUsXOVV
33,2020-01-30 13:37:32,32374.0,4910.0,Twitter for iPhone,"תודה רבה ידידי ראשה הממשלה @netanyahu
הקשר בין הודו לישראל חזק מאוד. מדינותינו משתפות פעולה באופן נרחב ביניהן ובפור… https://t.co/S6sTQqnfK6"
34,2020-01-30 12:59:17,29398.0,3935.0,Twitter for iPhone,Attended an all party meeting before the start of the budget session in parliament. https://t.co/vwpEzk7L4L
35,2020-01-30 09:03:11,17606.0,3431.0,Twitter for iPhone,"बोडो साथियों के साथ समझौता असम के अन्य समुदायों के हितों की रक्षा करते हुए किया गया है। इसमें सभी की जीत हुई है, मा… https://t.co/xjUt4n2Cf8"
36,2020-01-30 09:02:46,8294.0,1821.0,Twitter for iPhone,The accord with our Bodo friends was made while protecting the interest of other communities of Assam. This is a vi… https://t.co/dYTNDoswK5
37,2020-01-30 09:01:30,5175.0,1047.0,Twitter for iPhone,বড়ো সংগঠনৰ সৈতে হোৱা বুজাবুজিয়ে অসমৰ অন্য সম্প্ৰদায়সমূহৰো স্বাৰ্থ সুৰক্ষিত কৰিব। ইয়াৰ ফলত সকলোৰে লগতে মানৱতাৰ জ… https://t.co/MbxJLHpx33
38,2020-01-30 09:00:22,9564.0,2061.0,Twitter for iPhone,"बोडो संगठनों के साथ हुआ समझौता, असम के साथ ही देश के अन्य हिंसा प्रभावित क्षेत्रों के लिए भी एक संदेश है। हिंसा और… https://t.co/3gpyQDo6QJ"
39,2020-01-30 09:00:03,6179.0,1452.0,Twitter for iPhone,The accord with our Bodo friends is a message to Assam &amp; other violence affected parts of the country.Nation's deve… https://t.co/h1BPqluoxQ
40,2020-01-30 08:57:47,4735.0,1047.0,Twitter for iPhone,বড়ো সংগঠনৰ সৈতে হোৱা বুজাবুজিয়ে অসমৰ লগতে দেশৰ অন্য হিংসা প্ৰভাৱিত অঞ্চলসমূহলৈ ইতিবাচক বাৰ্তা প্ৰেৰণ কৰিছে। হিংসা… https://t.co/9lFxKtyjFP
41,2020-01-30 08:57:27,8919.0,1786.0,Twitter for iPhone,पूज्य बापू की पुण्यतिथि पर आज असम में 5 दशकों से चली आ रही समस्या का समाधान हुआ है। बोडो संगठनों और सरकार के बीच हु… https://t.co/934CRD55CC
42,2020-01-30 08:57:05,6735.0,1609.0,Twitter for iPhone,The 5 decade old Bodo issue finds resolution on the Punyatithi of Pujya Bapu today. The accord between the Bodo gro… https://t.co/ZfhHwUaLHX
